experiment_id	assay_plate_barcode	num_dmso_wells	dmso_plate_avg_log2	dmso_expt_std_log2
1	AU050678	91	1.457e+001	2.929e-001
1	AU050679	91	1.453e+001	2.929e-001
1	AU050680	128	1.438e+001	2.929e-001
1	AU050681	128	1.447e+001	2.929e-001
1	AU050690	266	1.462e+001	2.929e-001
1	AU050691	266	1.463e+001	2.929e-001
1	AU050692	128	1.461e+001	2.929e-001
1	AU050693	128	1.458e+001	2.929e-001
1	AU050694	128	1.456e+001	2.929e-001
1	AU050695	128	1.457e+001	2.929e-001
1	AU050696	128	1.457e+001	2.929e-001
1	AU050697	128	1.462e+001	2.929e-001
2	AU050450	88	1.493e+001	1.557e-001
2	AU050451	91	1.500e+001	1.557e-001
2	AU050452	266	1.508e+001	1.557e-001
2	AU050453	266	1.507e+001	1.557e-001
2	AU050454	128	1.505e+001	1.557e-001
2	AU050455	128	1.506e+001	1.557e-001
2	AU050456	128	1.507e+001	1.557e-001
2	AU050457	128	1.506e+001	1.557e-001
2	AU050659	128	1.504e+001	1.557e-001
2	AU050660	128	1.504e+001	1.557e-001
2	AU050661	128	1.501e+001	1.557e-001
2	AU050662	128	1.498e+001	1.557e-001
3	AU050504	91	1.528e+001	1.763e-001
3	AU050505	91	1.529e+001	1.763e-001
3	AU050506	266	1.537e+001	1.763e-001
3	AU050507	266	1.534e+001	1.763e-001
3	AU050508	128	1.536e+001	1.763e-001
3	AU050509	128	1.536e+001	1.763e-001
3	AU050510	128	1.535e+001	1.763e-001
3	AU050511	128	1.533e+001	1.763e-001
3	AU050512	128	1.531e+001	1.763e-001
3	AU050513	128	1.534e+001	1.763e-001
3	AU050514	128	1.531e+001	1.763e-001
3	AU050515	128	1.530e+001	1.763e-001
4	AU050612	128	1.374e+001	9.030e-001
4	AU050613	128	1.362e+001	9.030e-001
4	AU050614	128	1.369e+001	9.030e-001
4	AU050615	128	1.362e+001	9.030e-001
4	AU050616	128	1.378e+001	9.030e-001
4	AU050617	128	1.377e+001	9.030e-001
4	AU050778	128	1.372e+001	9.030e-001
4	AU050779	128	1.360e+001	9.030e-001
4	AU050780	266	1.306e+001	9.030e-001
4	AU050781	266	1.320e+001	9.030e-001
4	AU050782	128	1.367e+001	9.030e-001
4	AU050783	128	1.356e+001	9.030e-001
5	AU050544	128	1.388e+001	9.634e-001
5	AU050545	128	1.368e+001	9.634e-001
5	AU050546	128	1.380e+001	9.634e-001
5	AU050547	128	1.380e+001	9.634e-001
5	AU050558	128	1.390e+001	9.634e-001
5	AU050559	128	1.389e+001	9.634e-001
5	AU050560	128	1.385e+001	9.634e-001
5	AU050561	128	1.374e+001	9.634e-001
5	AU050562	267	1.362e+001	9.634e-001
5	AU050563	266	1.317e+001	9.634e-001
5	AU050564	128	1.390e+001	9.634e-001
5	AU050565	128	1.357e+001	9.634e-001
6	AU050550	128	1.370e+001	6.992e-001
6	AU050551	128	1.374e+001	6.992e-001
6	AU050552	128	1.383e+001	6.992e-001
6	AU050553	128	1.365e+001	6.992e-001
6	AU050554	128	1.380e+001	6.992e-001
6	AU050555	128	1.373e+001	6.992e-001
6	AU050556	128	1.375e+001	6.992e-001
6	AU050557	128	1.380e+001	6.992e-001
6	AU050568	128	1.352e+001	6.992e-001
6	AU050569	128	1.349e+001	6.992e-001
6	AU050570	267	1.357e+001	6.992e-001
6	AU050571	267	1.358e+001	6.992e-001
7	AU050786	128	1.355e+001	1.436e+000
